Settings;Einstellungen
Language;Sprache
Back;Zurück
Family Tree;Stammbaum
Add Initial Family Member;Erste Person hinzufügen
First Name;Vorname
e.g. Hans, Hans-Peter, Hans-Peter-Paul;z.B. Hans, Hans-Peter, Hans-Peter-Paul
Second Name(s);Zweitname(n)
e.g. Peter, Peter-Paul, Peter Paul, Peter-Paul Dieter;z.B. Peter, Peter-Paul, Peter Paul, Peter-Paul Dieter
Last Name;Nachname
e.g. Meier, Meier-Schulze, Meier Schulze, Meier-Schulze Bauer;z.B. Meier, Meier-Schulze, Meier Schulze, Meier-Schulze Bauer
M;M
F;W
D;D
U;U
Birthdate;Geburtsdatum
Deathdate;Todesdatum
BC;v.Chr.
Day;Tag
Month;Monat
Year;Jahr
Unknown;Unbekannt
January;Januar
February;Februar
March;März
April;April
May;Mai
June;Juni
July;Juli
August;August
September;September
October;Oktober
November;November
December;Dezember
Back;Zurück
Save;Speichern
Deathdate unknown;Todesdatum unbekannt
